Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
August-2007,1195.10,1204.90,960.00,1199.70,15213411,318790,16579702712.00,244.90,3429347,22.54,4.60,
September-2007,1205.00,1606.30,1193.00,1584.50,14829522,334914,21020441747.00,413.30,2370697,15.99,379.50,
October-2007,1605.00,2179.90,1380.00,2122.20,35084452,879383,63403625017.00,799.90,5770187,16.45,517.20,
November-2007,2149.90,2421.10,1785.55,2357.00,16837675,504756,35789403271.00,635.55,2657100,15.78,207.10,
December-2007,2380.00,2649.00,2321.85,2589.35,6653445,216832,16493355065.00,327.15,1265956,19.03,209.35,
January-2008,2600.00,2925.00,1311.00,1892.50,17032482,453462,40298095732.00,1614.00,4506888,26.46,-707.50,
February-2008,1910.00,2199.00,1508.50,1818.25,23783221,914953,45770181381.00,690.50,4277376,17.98,-91.75,
March-2008,1800.00,1800.00,1046.15,1229.50,33352175,1252772,43750817124.00,753.85,4014918,12.04,-570.50,
April-2008,1245.05,1529.00,1126.00,1503.70,32133710,1218287,42077829874.00,403.00,3547884,11.04,258.65,
May-2008,1560.00,1620.00,1190.00,1199.70,27000681,949186,36530669368.00,430.00,3483752,12.90,-360.30,
June-2008,1210.00,1221.00,893.20,902.65,50098982,1592047,52677218718.00,327.80,5733047,11.44,-307.35,
July-2008,905.00,1432.50,822.50,1303.35,74102743,2263408,80744556383.00,610.00,6139711,8.29,398.35,
August-2008,1280.00,1470.00,1201.00,1374.70,39787575,1338697,53216658435.00,269.00,3425509,8.61,94.70,
September-2008,1353.00,1433.85,974.70,1142.65,54089876,1722200,65015941367.00,459.15,7149700,13.22,-210.35,
October-2008,1165.00,1182.00,508.90,650.45,60579955,1875578,46889725868.00,673.10,5735712,9.47,-514.55,
November-2008,685.00,778.50,405.65,447.90,56888681,1555323,31007874117.00,372.85,4569621,8.03,-237.10,
December-2008,455.00,594.80,408.00,541.70,65315920,1545681,32998179726.00,186.80,4387987,6.72,86.70,
January-2009,544.90,625.00,376.15,420.95,59839271,1413391,27671423636.00,248.85,5662783,9.46,-123.95,
February-2009,425.00,437.00,347.10,352.00,45662602,1013298,17891735875.00,89.90,5324232,11.66,-73.00,
March-2009,344.90,381.20,274.20,353.55,72326711,1284872,23824450026.00,107.00,7018730,9.70,8.65,
April-2009,359.50,582.00,346.50,524.60,81369764,1441410,40251566164.00,235.50,5453806,6.70,165.10,
May-2009,535.00,972.00,530.00,942.65,63506448,1294694,46050147132.00,442.00,6045317,9.52,407.65,
June-2009,950.00,1066.00,855.00,900.35,51519515,1288149,49195197711.00,211.00,5160845,10.02,-49.65,
July-2009,916.70,959.50,700.70,883.85,48752066,1242777,41539007280.00,258.80,4289051,8.80,-32.85,
August-2009,896.00,938.00,780.00,871.35,35456985,893590,30155098329.00,158.00,3792889,10.70,-24.65,
